city_slug,immo_source_slug,lots_served_status,lots_served_reason,lots_served_observed_lots,surface_m2_status,surface_m2_reason,surface_m2_observed_lots,surface_m2_completed_lots,postal_code_status,postal_code_reason,postal_code_observed_lots,postal_code_completed_lots,civic_address_status,civic_address_reason,civic_address_observed_lots,civic_address_completed_lots,tod_applicability_status,tod_applicability_reason,tod_completion_status,tod_completion_reason,tod_completion_observed_lots,tod_completion_joined_lots,tod_completion_in_tod_lots
godbout,godbout,complete,Canonical local Immo perMuni stats row is present and reports 377 served lots.,377,complete,Local Immo stats report 377/377 lots with surface_m2.,377,377,complete,Local Immo stats report 377/377 lots with code_postal.,377,377,complete,Local Immo stats report 377/377 lots with civic address.,377,377,N/A,The local coverage matrix has no TOD scope entry for this city.,N/A,TOD is not applicable according to the local coverage matrix.,,,
godmanchester,godmanchester,complete,Canonical local Immo perMuni stats row is present and reports 813 served lots.,813,complete,Local Immo stats report 813/813 lots with surface_m2.,813,813,complete,Local Immo stats report 813/813 lots with code_postal.,813,813,incomplete,Local Immo stats report 801/813 lots with civic address.,813,801,N/A,The local coverage matrix has no TOD scope entry for this city.,N/A,TOD is not applicable according to the local coverage matrix.,,,
gore,gore,complete,Canonical local Immo perMuni stats row is present and reports 5016 served lots.,5016,complete,Local Immo stats report 5016/5016 lots with surface_m2.,5016,5016,complete,Local Immo stats report 5016/5016 lots with code_postal.,5016,5016,incomplete,Local Immo stats report 4973/5016 lots with civic address.,5016,4973,N/A,The local coverage matrix has no TOD scope entry for this city.,N/A,TOD is not applicable according to the local coverage matrix.,,,
gracefield,,incomplete,No canonical local Immo perMuni stats row is present in the served-lots snapshot.,,unknown,No canonical local Immo perMuni stats row exists; surface_m2 cannot be measured.,,,unknown,No canonical local Immo perMuni stats row exists; code_postal cannot be measured.,,,unknown,No canonical local Immo perMuni stats row exists; civic address cannot be measured.,,,N/A,The local coverage matrix has no TOD scope entry for this city.,N/A,TOD is not applicable according to the local coverage matrix.,,,
granby,granby,complete,Canonical local Immo perMuni stats row is present and reports 25947 served lots.,25947,complete,Local Immo stats report 25947/25947 lots with surface_m2.,25947,25947,complete,Local Immo stats report 25947/25947 lots with code_postal.,25947,25947,incomplete,Local Immo stats report 25494/25947 lots with civic address.,25947,25494,N/A,The local coverage matrix has no TOD scope entry for this city.,N/A,TOD is not applicable according to the local coverage matrix.,,,
grand-metis,grand-metis,complete,Canonical local Immo perMuni stats row is present and reports 585 served lots.,585,complete,Local Immo stats report 585/585 lots with surface_m2.,585,585,complete,Local Immo stats report 585/585 lots with code_postal.,585,585,incomplete,Local Immo stats report 538/585 lots with civic address.,585,538,N/A,The local coverage matrix has no TOD scope entry for this city.,N/A,TOD is not applicable according to the local coverage matrix.,,,
grand-remous,grand-remous,complete,Canonical local Immo perMuni stats row is present and reports 1104 served lots.,1104,complete,Local Immo stats report 1104/1104 lots with surface_m2.,1104,1104,complete,Local Immo stats report 1104/1104 lots with code_postal.,1104,1104,incomplete,Local Immo stats report 943/1104 lots with civic address.,1104,943,N/A,The local coverage matrix has no TOD scope entry for this city.,N/A,TOD is not applicable according to the local coverage matrix.,,,
grand-saint-esprit,grand-saint-esprit,complete,Canonical local Immo perMuni stats row is present and reports 348 served lots.,348,complete,Local Immo stats report 348/348 lots with surface_m2.,348,348,complete,Local Immo stats report 348/348 lots with code_postal.,348,348,incomplete,Local Immo stats report 327/348 lots with civic address.,348,327,N/A,The local coverage matrix has no TOD scope entry for this city.,N/A,TOD is not applicable according to the local coverage matrix.,,,
grande-riviere,grande-riviere,complete,Canonical local Immo perMuni stats row is present and reports 2718 served lots.,2718,complete,Local Immo stats report 2718/2718 lots with surface_m2.,2718,2718,complete,Local Immo stats report 2718/2718 lots with code_postal.,2718,2718,incomplete,Local Immo stats report 2601/2718 lots with civic address.,2718,2601,N/A,The local coverage matrix has no TOD scope entry for this city.,N/A,TOD is not applicable according to the local coverage matrix.,,,
grande-vallee,,incomplete,No canonical local Immo perMuni stats row is present in the served-lots snapshot.,,unknown,No canonical local Immo perMuni stats row exists; surface_m2 cannot be measured.,,,unknown,No canonical local Immo perMuni stats row exists; code_postal cannot be measured.,,,unknown,No canonical local Immo perMuni stats row exists; civic address cannot be measured.,,,N/A,The local coverage matrix has no TOD scope entry for this city.,N/A,TOD is not applicable according to the local coverage matrix.,,,
grandes-piles,,incomplete,No canonical local Immo perMuni stats row is present in the served-lots snapshot.,,unknown,No canonical local Immo perMuni stats row exists; surface_m2 cannot be measured.,,,unknown,No canonical local Immo perMuni stats row exists; code_postal cannot be measured.,,,unknown,No canonical local Immo perMuni stats row exists; civic address cannot be measured.,,,N/A,The local coverage matrix has no TOD scope entry for this city.,N/A,TOD is not applicable according to the local coverage matrix.,,,
grenville,grenville,complete,Canonical local Immo perMuni stats row is present and reports 916 served lots.,916,complete,Local Immo stats report 916/916 lots with surface_m2.,916,916,complete,Local Immo stats report 916/916 lots with code_postal.,916,916,incomplete,Local Immo stats report 894/916 lots with civic address.,916,894,N/A,The local coverage matrix has no TOD scope entry for this city.,N/A,TOD is not applicable according to the local coverage matrix.,,,
grenville-sur-la-rouge,grenville-sur-la-rouge,complete,Canonical local Immo perMuni stats row is present and reports 1415 served lots.,1415,complete,Local Immo stats report 1415/1415 lots with surface_m2.,1415,1415,complete,Local Immo stats report 1415/1415 lots with code_postal.,1415,1415,incomplete,Local Immo stats report 1413/1415 lots with civic address.,1415,1413,N/A,The local coverage matrix has no TOD scope entry for this city.,N/A,TOD is not applicable according to the local coverage matrix.,,,
gros-mecatina,,incomplete,No canonical local Immo perMuni stats row is present in the served-lots snapshot.,,unknown,No canonical local Immo perMuni stats row exists; surface_m2 cannot be measured.,,,unknown,No canonical local Immo perMuni stats row exists; code_postal cannot be measured.,,,unknown,No canonical local Immo perMuni stats row exists; civic address cannot be measured.,,,N/A,The local coverage matrix has no TOD scope entry for this city.,N/A,TOD is not applicable according to the local coverage matrix.,,,
grosse-ile,grosse-ile,complete,Canonical local Immo perMuni stats row is present and reports 760 served lots.,760,complete,Local Immo stats report 760/760 lots with surface_m2.,760,760,complete,Local Immo stats report 760/760 lots with code_postal.,760,760,incomplete,Local Immo stats report 698/760 lots with civic address.,760,698,N/A,The local coverage matrix has no TOD scope entry for this city.,N/A,TOD is not applicable according to the local coverage matrix.,,,
grosses-roches,grosses-roches,complete,Canonical local Immo perMuni stats row is present and reports 790 served lots.,790,complete,Local Immo stats report 790/790 lots with surface_m2.,790,790,complete,Local Immo stats report 790/790 lots with code_postal.,790,790,incomplete,Local Immo stats report 685/790 lots with civic address.,790,685,N/A,The local coverage matrix has no TOD scope entry for this city.,N/A,TOD is not applicable according to the local coverage matrix.,,,
guerin,guerin,complete,Canonical local Immo perMuni stats row is present and reports 689 served lots.,689,complete,Local Immo stats report 689/689 lots with surface_m2.,689,689,complete,Local Immo stats report 689/689 lots with code_postal.,689,689,incomplete,Local Immo stats report 588/689 lots with civic address.,689,588,N/A,The local coverage matrix has no TOD scope entry for this city.,N/A,TOD is not applicable according to the local coverage matrix.,,,
ham-nord,ham-nord,complete,Canonical local Immo perMuni stats row is present and reports 760 served lots.,760,complete,Local Immo stats report 760/760 lots with surface_m2.,760,760,complete,Local Immo stats report 760/760 lots with code_postal.,760,760,incomplete,Local Immo stats report 681/760 lots with civic address.,760,681,N/A,The local coverage matrix has no TOD scope entry for this city.,N/A,TOD is not applicable according to the local coverage matrix.,,,
ham-sud,ham-sud,complete,Canonical local Immo perMuni stats row is present and reports 575 served lots.,575,complete,Local Immo stats report 575/575 lots with surface_m2.,575,575,complete,Local Immo stats report 575/575 lots with code_postal.,575,575,incomplete,Local Immo stats report 569/575 lots with civic address.,575,569,N/A,The local coverage matrix has no TOD scope entry for this city.,N/A,TOD is not applicable according to the local coverage matrix.,,,
hampden,,incomplete,No canonical local Immo perMuni stats row is present in the served-lots snapshot.,,unknown,No canonical local Immo perMuni stats row exists; surface_m2 cannot be measured.,,,unknown,No canonical local Immo perMuni stats row exists; code_postal cannot be measured.,,,unknown,No canonical local Immo perMuni stats row exists; civic address cannot be measured.,,,N/A,The local coverage matrix has no TOD scope entry for this city.,N/A,TOD is not applicable according to the local coverage matrix.,,,
hampstead,hampstead,complete,Canonical local Immo perMuni stats row is present and reports 1866 served lots.,1866,complete,Local Immo stats report 1866/1866 lots with surface_m2.,1866,1866,complete,Local Immo stats report 1866/1866 lots with code_postal.,1866,1866,incomplete,Local Immo stats report 1717/1866 lots with civic address.,1866,1717,N/A,The local coverage matrix has no TOD scope entry for this city.,N/A,TOD is not applicable according to the local coverage matrix.,,,
harrington,harrington,complete,Canonical local Immo perMuni stats row is present and reports 986 served lots.,986,complete,Local Immo stats report 986/986 lots with surface_m2.,986,986,complete,Local Immo stats report 986/986 lots with code_postal.,986,986,incomplete,Local Immo stats report 974/986 lots with civic address.,986,974,N/A,The local coverage matrix has no TOD scope entry for this city.,N/A,TOD is not applicable according to the local coverage matrix.,,,
hatley,hatley,complete,Canonical local Immo perMuni stats row is present and reports 1111 served lots.,1111,complete,Local Immo stats report 1111/1111 lots with surface_m2.,1111,1111,complete,Local Immo stats report 1111/1111 lots with code_postal.,1111,1111,incomplete,Local Immo stats report 1010/1111 lots with civic address.,1111,1010,N/A,The local coverage matrix has no TOD scope entry for this city.,N/A,TOD is not applicable according to the local coverage matrix.,,,
hatley-township-municipality,hatley-township-municipality,complete,Canonical local Immo perMuni stats row is present and reports 276 served lots.,276,complete,Local Immo stats report 276/276 lots with surface_m2.,276,276,complete,Local Immo stats report 276/276 lots with code_postal.,276,276,incomplete,Local Immo stats report 245/276 lots with civic address.,276,245,N/A,The local coverage matrix has no TOD scope entry for this city.,N/A,TOD is not applicable according to the local coverage matrix.,,,
havelock,havelock,complete,Canonical local Immo perMuni stats row is present and reports 566 served lots.,566,complete,Local Immo stats report 566/566 lots with surface_m2.,566,566,complete,Local Immo stats report 566/566 lots with code_postal.,566,566,incomplete,Local Immo stats report 564/566 lots with civic address.,566,564,N/A,The local coverage matrix has no TOD scope entry for this city.,N/A,TOD is not applicable according to the local coverage matrix.,,,
havre-saint-pierre,havre-saint-pierre,complete,Canonical local Immo perMuni stats row is present and reports zero lots.,0,N/A,Canonical local Immo stats report zero lots; surface_m2 has no per-lot denominator.,0,,N/A,Canonical local Immo stats report zero lots; code_postal has no per-lot denominator.,0,,N/A,Canonical local Immo stats report zero lots; civic address has no per-lot denominator.,0,,N/A,The local coverage matrix has no TOD scope entry for this city.,N/A,TOD is not applicable according to the local coverage matrix.,,,
hebertville,,incomplete,No canonical local Immo perMuni stats row is present in the served-lots snapshot.,,unknown,No canonical local Immo perMuni stats row exists; surface_m2 cannot be measured.,,,unknown,No canonical local Immo perMuni stats row exists; code_postal cannot be measured.,,,unknown,No canonical local Immo perMuni stats row exists; civic address cannot be measured.,,,N/A,The local coverage matrix has no TOD scope entry for this city.,N/A,TOD is not applicable according to the local coverage matrix.,,,
hebertville-station,,incomplete,No canonical local Immo perMuni stats row is present in the served-lots snapshot.,,unknown,No canonical local Immo perMuni stats row exists; surface_m2 cannot be measured.,,,unknown,No canonical local Immo perMuni stats row exists; code_postal cannot be measured.,,,unknown,No canonical local Immo perMuni stats row exists; civic address cannot be measured.,,,N/A,The local coverage matrix has no TOD scope entry for this city.,N/A,TOD is not applicable according to the local coverage matrix.,,,
hemmingford--les-jardins-de-napierville,hemmingford--les-jardins-de-napierville,complete,Canonical local Immo perMuni stats row is present and reports 492 served lots.,492,complete,Local Immo stats report 492/492 lots with surface_m2.,492,492,complete,Local Immo stats report 492/492 lots with code_postal.,492,492,incomplete,Local Immo stats report 489/492 lots with civic address.,492,489,N/A,The local coverage matrix has no TOD scope entry for this city.,N/A,TOD is not applicable according to the local coverage matrix.,,,
hemmingford--les-jardins-de-napierville--2,hemmingford--les-jardins-de-napierville--2,complete,Canonical local Immo perMuni stats row is present and reports 1618 served lots.,1618,complete,Local Immo stats report 1618/1618 lots with surface_m2.,1618,1618,complete,Local Immo stats report 1618/1618 lots with code_postal.,1618,1618,incomplete,Local Immo stats report 1105/1618 lots with civic address.,1618,1105,N/A,The local coverage matrix has no TOD scope entry for this city.,N/A,TOD is not applicable according to the local coverage matrix.,,,
henryville,,incomplete,No canonical local Immo perMuni stats row is present in the served-lots snapshot.,,unknown,No canonical local Immo perMuni stats row exists; surface_m2 cannot be measured.,,,unknown,No canonical local Immo perMuni stats row exists; code_postal cannot be measured.,,,unknown,No canonical local Immo perMuni stats row exists; civic address cannot be measured.,,,N/A,The local coverage matrix has no TOD scope entry for this city.,N/A,TOD is not applicable according to the local coverage matrix.,,,
herouxville,herouxville,complete,Canonical local Immo perMuni stats row is present and reports 1385 served lots.,1385,complete,Local Immo stats report 1385/1385 lots with surface_m2.,1385,1385,complete,Local Immo stats report 1385/1385 lots with code_postal.,1385,1385,incomplete,Local Immo stats report 1270/1385 lots with civic address.,1385,1270,N/A,The local coverage matrix has no TOD scope entry for this city.,N/A,TOD is not applicable according to the local coverage matrix.,,,
hinchinbrooke,hinchinbrooke,complete,Canonical local Immo perMuni stats row is present and reports 1911 served lots.,1911,complete,Local Immo stats report 1911/1911 lots with surface_m2.,1911,1911,complete,Local Immo stats report 1911/1911 lots with code_postal.,1911,1911,incomplete,Local Immo stats report 1899/1911 lots with civic address.,1911,1899,N/A,The local coverage matrix has no TOD scope entry for this city.,N/A,TOD is not applicable according to the local coverage matrix.,,,
honfleur,honfleur,complete,Canonical local Immo perMuni stats row is present and reports 923 served lots.,923,complete,Local Immo stats report 923/923 lots with surface_m2.,923,923,complete,Local Immo stats report 923/923 lots with code_postal.,923,923,incomplete,Local Immo stats report 850/923 lots with civic address.,923,850,N/A,The local coverage matrix has no TOD scope entry for this city.,N/A,TOD is not applicable according to the local coverage matrix.,,,
hope,hope,complete,Canonical local Immo perMuni stats row is present and reports 315 served lots.,315,complete,Local Immo stats report 315/315 lots with surface_m2.,315,315,complete,Local Immo stats report 315/315 lots with code_postal.,315,315,incomplete,Local Immo stats report 314/315 lots with civic address.,315,314,N/A,The local coverage matrix has no TOD scope entry for this city.,N/A,TOD is not applicable according to the local coverage matrix.,,,
hope-town,,incomplete,No canonical local Immo perMuni stats row is present in the served-lots snapshot.,,unknown,No canonical local Immo perMuni stats row exists; surface_m2 cannot be measured.,,,unknown,No canonical local Immo perMuni stats row exists; code_postal cannot be measured.,,,unknown,No canonical local Immo perMuni stats row exists; civic address cannot be measured.,,,N/A,The local coverage matrix has no TOD scope entry for this city.,N/A,TOD is not applicable according to the local coverage matrix.,,,
howick,howick,complete,Canonical local Immo perMuni stats row is present and reports 394 served lots.,394,complete,Local Immo stats report 394/394 lots with surface_m2.,394,394,complete,Local Immo stats report 394/394 lots with code_postal.,394,394,incomplete,Local Immo stats report 393/394 lots with civic address.,394,393,N/A,The local coverage matrix has no TOD scope entry for this city.,N/A,TOD is not applicable according to the local coverage matrix.,,,
huberdeau,huberdeau,complete,Canonical local Immo perMuni stats row is present and reports 876 served lots.,876,complete,Local Immo stats report 876/876 lots with surface_m2.,876,876,complete,Local Immo stats report 876/876 lots with code_postal.,876,876,incomplete,Local Immo stats report 859/876 lots with civic address.,876,859,N/A,The local coverage matrix has no TOD scope entry for this city.,N/A,TOD is not applicable according to the local coverage matrix.,,,
hudson,hudson,complete,Canonical local Immo perMuni stats row is present and reports 3331 served lots.,3331,complete,Local Immo stats report 3331/3331 lots with surface_m2.,3331,3331,complete,Local Immo stats report 3331/3331 lots with code_postal.,3331,3331,incomplete,Local Immo stats report 3303/3331 lots with civic address.,3331,3303,N/A,The local coverage matrix has no TOD scope entry for this city.,N/A,TOD is not applicable according to the local coverage matrix.,,,
huntingdon,huntingdon,complete,Canonical local Immo perMuni stats row is present and reports 1853 served lots.,1853,complete,Local Immo stats report 1853/1853 lots with surface_m2.,1853,1853,complete,Local Immo stats report 1853/1853 lots with code_postal.,1853,1853,incomplete,Local Immo stats report 1640/1853 lots with civic address.,1853,1640,N/A,The local coverage matrix has no TOD scope entry for this city.,N/A,TOD is not applicable according to the local coverage matrix.,,,
inverness,inverness,complete,Canonical local Immo perMuni stats row is present and reports 982 served lots.,982,complete,Local Immo stats report 982/982 lots with surface_m2.,982,982,complete,Local Immo stats report 982/982 lots with code_postal.,982,982,incomplete,Local Immo stats report 872/982 lots with civic address.,982,872,N/A,The local coverage matrix has no TOD scope entry for this city.,N/A,TOD is not applicable according to the local coverage matrix.,,,
irlande,irlande,complete,Canonical local Immo perMuni stats row is present and reports 926 served lots.,926,complete,Local Immo stats report 926/926 lots with surface_m2.,926,926,complete,Local Immo stats report 926/926 lots with code_postal.,926,926,incomplete,Local Immo stats report 925/926 lots with civic address.,926,925,N/A,The local coverage matrix has no TOD scope entry for this city.,N/A,TOD is not applicable according to the local coverage matrix.,,,
ivry-sur-le-lac,ivry-sur-le-lac,complete,Canonical local Immo perMuni stats row is present and reports 1537 served lots.,1537,complete,Local Immo stats report 1537/1537 lots with surface_m2.,1537,1537,complete,Local Immo stats report 1537/1537 lots with code_postal.,1537,1537,incomplete,Local Immo stats report 1528/1537 lots with civic address.,1537,1528,N/A,The local coverage matrix has no TOD scope entry for this city.,N/A,TOD is not applicable according to the local coverage matrix.,,,
joliette,joliette,complete,Canonical local Immo perMuni stats row is present and reports 7253 served lots.,7253,complete,Local Immo stats report 7253/7253 lots with surface_m2.,7253,7253,complete,Local Immo stats report 7253/7253 lots with code_postal.,7253,7253,incomplete,Local Immo stats report 7027/7253 lots with civic address.,7253,7027,N/A,The local coverage matrix has no TOD scope entry for this city.,N/A,TOD is not applicable according to the local coverage matrix.,,,
kamouraska,kamouraska,complete,Canonical local Immo perMuni stats row is present and reports 858 served lots.,858,complete,Local Immo stats report 858/858 lots with surface_m2.,858,858,complete,Local Immo stats report 858/858 lots with code_postal.,858,858,incomplete,Local Immo stats report 780/858 lots with civic address.,858,780,N/A,The local coverage matrix has no TOD scope entry for this city.,N/A,TOD is not applicable according to the local coverage matrix.,,,
kazabazua,,incomplete,No canonical local Immo perMuni stats row is present in the served-lots snapshot.,,unknown,No canonical local Immo perMuni stats row exists; surface_m2 cannot be measured.,,,unknown,No canonical local Immo perMuni stats row exists; code_postal cannot be measured.,,,unknown,No canonical local Immo perMuni stats row exists; civic address cannot be measured.,,,N/A,The local coverage matrix has no TOD scope entry for this city.,N/A,TOD is not applicable according to the local coverage matrix.,,,
kiamika,kiamika,complete,Canonical local Immo perMuni stats row is present and reports 721 served lots.,721,complete,Local Immo stats report 721/721 lots with surface_m2.,721,721,complete,Local Immo stats report 721/721 lots with code_postal.,721,721,incomplete,Local Immo stats report 631/721 lots with civic address.,721,631,N/A,The local coverage matrix has no TOD scope entry for this city.,N/A,TOD is not applicable according to the local coverage matrix.,,,
kingsbury,kingsbury,complete,Canonical local Immo perMuni stats row is present and reports 165 served lots.,165,complete,Local Immo stats report 165/165 lots with surface_m2.,165,165,complete,Local Immo stats report 165/165 lots with code_postal.,165,165,incomplete,Local Immo stats report 140/165 lots with civic address.,165,140,N/A,The local coverage matrix has no TOD scope entry for this city.,N/A,TOD is not applicable according to the local coverage matrix.,,,
kingsey-falls,kingsey-falls,complete,Canonical local Immo perMuni stats row is present and reports 1289 served lots.,1289,complete,Local Immo stats report 1289/1289 lots with surface_m2.,1289,1289,complete,Local Immo stats report 1289/1289 lots with code_postal.,1289,1289,incomplete,Local Immo stats report 1166/1289 lots with civic address.,1289,1166,N/A,The local coverage matrix has no TOD scope entry for this city.,N/A,TOD is not applicable according to the local coverage matrix.,,,
kinnears-mills,kinnears-mills,complete,Canonical local Immo perMuni stats row is present and reports 697 served lots.,697,complete,Local Immo stats report 697/697 lots with surface_m2.,697,697,complete,Local Immo stats report 697/697 lots with code_postal.,697,697,incomplete,Local Immo stats report 688/697 lots with civic address.,697,688,N/A,The local coverage matrix has no TOD scope entry for this city.,N/A,TOD is not applicable according to the local coverage matrix.,,,
kipawa,,incomplete,No canonical local Immo perMuni stats row is present in the served-lots snapshot.,,unknown,No canonical local Immo perMuni stats row exists; surface_m2 cannot be measured.,,,unknown,No canonical local Immo perMuni stats row exists; code_postal cannot be measured.,,,unknown,No canonical local Immo perMuni stats row exists; civic address cannot be measured.,,,N/A,The local coverage matrix has no TOD scope entry for this city.,N/A,TOD is not applicable according to the local coverage matrix.,,,
kirkland,kirkland,complete,Canonical local Immo perMuni stats row is present and reports 6878 served lots.,6878,complete,Local Immo stats report 6878/6878 lots with surface_m2.,6878,6878,complete,Local Immo stats report 6878/6878 lots with code_postal.,6878,6878,incomplete,Local Immo stats report 6397/6878 lots with civic address.,6878,6397,complete,The local coverage matrix declares TOD scope with status done.,incomplete,Local Immo stats report the TOD join is absent: 0/6878 lots joined (0 lots in TOD).,6878,0,0
la-bostonnais,la-bostonnais,complete,Canonical local Immo perMuni stats row is present and reports 707 served lots.,707,complete,Local Immo stats report 707/707 lots with surface_m2.,707,707,complete,Local Immo stats report 707/707 lots with code_postal.,707,707,incomplete,Local Immo stats report 635/707 lots with civic address.,707,635,N/A,The local coverage matrix has no TOD scope entry for this city.,N/A,TOD is not applicable according to the local coverage matrix.,,,
la-conception,la-conception,complete,Canonical local Immo perMuni stats row is present and reports 3083 served lots.,3083,complete,Local Immo stats report 3083/3083 lots with surface_m2.,3083,3083,complete,Local Immo stats report 3083/3083 lots with code_postal.,3083,3083,incomplete,Local Immo stats report 3044/3083 lots with civic address.,3083,3044,N/A,The local coverage matrix has no TOD scope entry for this city.,N/A,TOD is not applicable according to the local coverage matrix.,,,
la-corne,la-corne,complete,Canonical local Immo perMuni stats row is present and reports 328 served lots.,328,complete,Local Immo stats report 328/328 lots with surface_m2.,328,328,complete,Local Immo stats report 328/328 lots with code_postal.,328,328,incomplete,Local Immo stats report 294/328 lots with civic address.,328,294,N/A,The local coverage matrix has no TOD scope entry for this city.,N/A,TOD is not applicable according to the local coverage matrix.,,,
la-dore,,incomplete,No canonical local Immo perMuni stats row is present in the served-lots snapshot.,,unknown,No canonical local Immo perMuni stats row exists; surface_m2 cannot be measured.,,,unknown,No canonical local Immo perMuni stats row exists; code_postal cannot be measured.,,,unknown,No canonical local Immo perMuni stats row exists; civic address cannot be measured.,,,N/A,The local coverage matrix has no TOD scope entry for this city.,N/A,TOD is not applicable according to the local coverage matrix.,,,
la-durantaye,la-durantaye,complete,Canonical local Immo perMuni stats row is present and reports 1011 served lots.,1011,complete,Local Immo stats report 1011/1011 lots with surface_m2.,1011,1011,complete,Local Immo stats report 1011/1011 lots with code_postal.,1011,1011,incomplete,Local Immo stats report 936/1011 lots with civic address.,1011,936,N/A,The local coverage matrix has no TOD scope entry for this city.,N/A,TOD is not applicable according to the local coverage matrix.,,,
la-guadeloupe,la-guadeloupe,complete,Canonical local Immo perMuni stats row is present and reports 1137 served lots.,1137,complete,Local Immo stats report 1137/1137 lots with surface_m2.,1137,1137,complete,Local Immo stats report 1137/1137 lots with code_postal.,1137,1137,incomplete,Local Immo stats report 1020/1137 lots with civic address.,1137,1020,N/A,The local coverage matrix has no TOD scope entry for this city.,N/A,TOD is not applicable according to the local coverage matrix.,,,
la-macaza,la-macaza,complete,Canonical local Immo perMuni stats row is present and reports 1565 served lots.,1565,complete,Local Immo stats report 1565/1565 lots with surface_m2.,1565,1565,complete,Local Immo stats report 1565/1565 lots with code_postal.,1565,1565,incomplete,Local Immo stats report 1372/1565 lots with civic address.,1565,1372,N/A,The local coverage matrix has no TOD scope entry for this city.,N/A,TOD is not applicable according to the local coverage matrix.,,,
la-malbaie,la-malbaie,complete,Canonical local Immo perMuni stats row is present and reports 3026 served lots.,3026,complete,Local Immo stats report 3026/3026 lots with surface_m2.,3026,3026,complete,Local Immo stats report 3026/3026 lots with code_postal.,3026,3026,incomplete,Local Immo stats report 2779/3026 lots with civic address.,3026,2779,N/A,The local coverage matrix has no TOD scope entry for this city.,N/A,TOD is not applicable according to the local coverage matrix.,,,
la-martre,,incomplete,No canonical local Immo perMuni stats row is present in the served-lots snapshot.,,unknown,No canonical local Immo perMuni stats row exists; surface_m2 cannot be measured.,,,unknown,No canonical local Immo perMuni stats row exists; code_postal cannot be measured.,,,unknown,No canonical local Immo perMuni stats row exists; civic address cannot be measured.,,,N/A,The local coverage matrix has no TOD scope entry for this city.,N/A,TOD is not applicable according to the local coverage matrix.,,,
la-minerve,la-minerve,complete,Canonical local Immo perMuni stats row is present and reports 2127 served lots.,2127,complete,Local Immo stats report 2127/2127 lots with surface_m2.,2127,2127,complete,Local Immo stats report 2127/2127 lots with code_postal.,2127,2127,incomplete,Local Immo stats report 2107/2127 lots with civic address.,2127,2107,N/A,The local coverage matrix has no TOD scope entry for this city.,N/A,TOD is not applicable according to the local coverage matrix.,,,
la-morandiere-rochebaucourt,,incomplete,No canonical local Immo perMuni stats row is present in the served-lots snapshot.,,unknown,No canonical local Immo perMuni stats row exists; surface_m2 cannot be measured.,,,unknown,No canonical local Immo perMuni stats row exists; code_postal cannot be measured.,,,unknown,No canonical local Immo perMuni stats row exists; civic address cannot be measured.,,,N/A,The local coverage matrix has no TOD scope entry for this city.,N/A,TOD is not applicable according to the local coverage matrix.,,,
la-motte,la-motte,complete,Canonical local Immo perMuni stats row is present and reports 557 served lots.,557,complete,Local Immo stats report 557/557 lots with surface_m2.,557,557,complete,Local Immo stats report 557/557 lots with code_postal.,557,557,incomplete,Local Immo stats report 491/557 lots with civic address.,557,491,N/A,The local coverage matrix has no TOD scope entry for this city.,N/A,TOD is not applicable according to the local coverage matrix.,,,
la-patrie,,incomplete,No canonical local Immo perMuni stats row is present in the served-lots snapshot.,,unknown,No canonical local Immo perMuni stats row exists; surface_m2 cannot be measured.,,,unknown,No canonical local Immo perMuni stats row exists; code_postal cannot be measured.,,,unknown,No canonical local Immo perMuni stats row exists; civic address cannot be measured.,,,N/A,The local coverage matrix has no TOD scope entry for this city.,N/A,TOD is not applicable according to the local coverage matrix.,,,
la-peche,la-peche,complete,Canonical local Immo perMuni stats row is present and reports 2233 served lots.,2233,complete,Local Immo stats report 2233/2233 lots with surface_m2.,2233,2233,complete,Local Immo stats report 2233/2233 lots with code_postal.,2233,2233,incomplete,Local Immo stats report 2175/2233 lots with civic address.,2233,2175,N/A,The local coverage matrix has no TOD scope entry for this city.,N/A,TOD is not applicable according to the local coverage matrix.,,,
la-pocatiere,la-pocatiere,complete,Canonical local Immo perMuni stats row is present and reports 3567 served lots.,3567,complete,Local Immo stats report 3567/3567 lots with surface_m2.,3567,3567,complete,Local Immo stats report 3567/3567 lots with code_postal.,3567,3567,incomplete,Local Immo stats report 3260/3567 lots with civic address.,3567,3260,N/A,The local coverage matrix has no TOD scope entry for this city.,N/A,TOD is not applicable according to the local coverage matrix.,,,
la-prairie,la-prairie,complete,Canonical local Immo perMuni stats row is present and reports 9468 served lots.,9468,complete,Local Immo stats report 9468/9468 lots with surface_m2.,9468,9468,complete,Local Immo stats report 9468/9468 lots with code_postal.,9468,9468,incomplete,Local Immo stats report 9085/9468 lots with civic address.,9468,9085,N/A,The local coverage matrix has no TOD scope entry for this city.,N/A,TOD is not applicable according to the local coverage matrix.,,,
la-presentation,la-presentation,complete,Canonical local Immo perMuni stats row is present and reports 1758 served lots.,1758,complete,Local Immo stats report 1758/1758 lots with surface_m2.,1758,1758,complete,Local Immo stats report 1758/1758 lots with code_postal.,1758,1758,incomplete,Local Immo stats report 1623/1758 lots with civic address.,1758,1623,N/A,The local coverage matrix has no TOD scope entry for this city.,N/A,TOD is not applicable according to the local coverage matrix.,,,
